"uber_name","uber_write","uber_date","page_num","threads","links","tot_pop","pop_per_thread","uber_write_filtered"
"DPUNX","What do most people do as far as car insurance Commercial","Mar 4, 2017","1","insurance","https://uberpeople.net/threads/insurance.146199/page-1",1,3,"What do most people do as far as car insurance Commercial"
"dcfrau","I have the rideshare endorsement on my Allstate personal insurance","Mar 4, 2017","1","insurance","https://uberpeople.net/threads/insurance.146199/page-1",1,3,"I have the rideshare endorsement on my Allstate personal insurance"
"DeplorableDonald","DPUNX saidWhat do most people do as far as car insurance CommercialClick to expandMost Uber drivers pray their insurance company doesnt find out they are driving UberThe responsible ones get proper coverage From what I have read MD  DC you can get rideshare riders pardon the pun to your regular policy VA it seems that GEICO is the only game in town","Mar 4, 2017","1","insurance","https://uberpeople.net/threads/insurance.146199/page-1",1,3,"  What do most people do as far as car insurance Commercial Most Uber drivers pray their insurance company doesnt find out they are driving UberThe responsible ones get proper coverage From what I have read MD  DC you can get rideshare riders pardon the pun to your regular policy VA it seems that GEICO is the only game in town"
"Ctp1224","What is the best insurance option for northern VA drivers","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",3,22,"What is the best insurance option for northern VA drivers"
"Another Uber Driver","GEICo offers a rideshare endorsement in Virginia   Metromile is available there as well   Erie and State Farm are  planning to offer one they may already have made one available  Check with your agent or the companyThe GEICo endorsement in Virginia is not inexpensive to read what other posters have put up here  I do not know about Metromile or the others","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",37,22,"GEICo offers a rideshare endorsement in Virginia   Metromile is available there as well   Erie and State Farm are  planning to offer one they may already have made one available  Check with your agent or the companyThe GEICo endorsement in Virginia is not inexpensive to read what other posters have put up here  I do not know about Metromile or the others"
"Ctp1224","Another Uber Driver saidGEICo offers a rideshare endorsement in Virginia   Metromile is available there as well   Erie and State Farm are  planning to offer one they may already have made one available  Check with your agent or the companyThe GEICo endorsement in Virginia is not inexpensive to read what other posters have put up here  I do not know about Metromile or the othersClick to expand Metro mile said the dont cover Va","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",3,22,"  GEICo offers a rideshare endorsement in Virginia   Metromile is available there as well   Erie and State Farm are  planning to offer one they may already have made one available  Check with your agent or the companyThe GEICo endorsement in Virginia is not inexpensive to read what other posters have put up here  I do not know about Metromile or the others  Metro mile   the dont cover Va"
"Another Uber Driver","Ctp1224 saidMetro mile said the dont cover VaClick to expandI kept trying to post the link taken directly from the address bar but when I check the link the 404 appears  This is one of many reasons why I HATE TECHNOLOGY  It never works the way in which it is supposed toIf you go to Metormiles website point and click to INSURANCE then scroll a little more than three quarters the way down the page it shows Virginia as one of the states in which it is admitted  The states that the website lists are  California New Jersey Illinois Oregon Pennsylvania Virginia and Washington StateBut then you are not the first one who checked and came back with the answer that it does not do business in Virginia  If that is the case Metromile needs to remove that information from its website","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",37,22,"  Metro mile   the dont cover Va I kept trying to post the link taken directly from the address bar but when I check the link the 404 appears  This is one of many reasons why I HATE TECHNOLOGY  It never works the way in which it is supposed toIf you go to Metormiles website point and click to INSURANCE then scroll a little more than three quarters the way down the page it shows Virginia as one of the states in which it is admitted  The states that the website lists are  California New Jersey Illinois Oregon Pennsylvania Virginia and Washington StateBut then you are not the first one who checked and came back with the answer that it does not do business in Virginia  If that is the case Metromile needs to remove that information from its website"
"Ctp1224","Another Uber Driver saidI kept trying to post the link taken directly from the address bar but when I check the link the 404 appears  This is one of many reasons why I HATE TECHNOLOGY  It never works the way in which it is supposed toIf you go to Metormiles website point and click to INSURANCE then scroll a little more than three quarters the way down the page it shows Virginia as one of the states in which it is admitted  The states that the website lists are  California New Jersey Illinois Oregon Pennsylvania Virginia and Washington StateBut then you are not the first one who checked and came back with the answer that it does not do business in Virginia  If that is the case Metromile needs to remove that information from its websiteClick to expandThey only offer personal insurance in VA not commercial","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",3,22,"  I kept trying to post the link taken directly from the address bar but when I check the link the 404 appears  This is one of many reasons why I HATE TECHNOLOGY  It never works the way in which it is supposed toIf you go to Metormiles website point and click to INSURANCE then scroll a little more than three quarters the way down the page it shows Virginia as one of the states in which it is admitted  The states that the website lists are  California New Jersey Illinois Oregon Pennsylvania Virginia and Washington StateBut then you are not the first one who checked and came back with the answer that it does not do business in Virginia  If that is the case Metromile needs to remove that information from its website They only offer personal insurance in VA not commercial"
"Another Uber Driver","Ctp1224 saidThey only offer personal insurance in VA not commercialClick to expandThat is curious since as I understand it Metromile went into business specifically to cater to TNC drivers needs  Perhaps someone has misinformed me","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",37,22,"  They only offer personal insurance in VA not commercial That is curious since as I understand it Metromile went into business specifically to cater to TNC drivers needs  Perhaps someone has misinformed me"
"John Highway","Another Uber Driver saidThat is curious since as I understand it Metromile went into business specifically to cater to TNC drivers needs  Perhaps someone has misinformed meClick to expandhttpswwwmetromilecomuberPeace of mind at lastIntroducing personal car insurance for Uber driver partners that works seamlessly with Ubers commercial policyUber insurance policies can only be purchased over the phone 18884960704Currently available in California Illinois and Washington","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",1,22,"  That is curious since as I understand it Metromile went into business specifically to cater to TNC drivers needs  Perhaps someone has misinformed me httpswwwmetromilecomuberPeace of mind at lastIntroducing personal car insurance for Uber driver partners that works seamlessly with Ubers commercial policyUber insurance policies can only be purchased over the phone 18884960704Currently available in California Illinois and Washington"
"coair73x","i have not applied yet to drive but started with the insurance quote today and I already have Geico AutoHomeUmbrella and the quote was 1400 for 12 months Personal for my 2011 Prius is 1075 a year","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",1,22,"i have not applied yet to drive but started with the insurance quote today and I already have Geico AutoHomeUmbrella and the quote was 1400 for 12 months Personal for my 2011 Prius is 1075 a year"
"claimbuster","I added ride share gap coverage thru my Farmers agent Relatively painless","May 11, 2016","1","insuranc","https://uberpeople.net/threads/insurance.77688/page-1",1,22,"I added ride share gap coverage thru my Farmers agent Relatively painless"
"vance1167","This moron backed into my car today on P street across from Whole Foods and tried to blame it on me  I layed on my horn to alert the moron to stop backing up to no avail She called the police to intimidate me whom did nothing but exchange our info like we could have done if she wasnt dumber and more immature than our PresidentI was about to pick up a pax so I would have been screwed if I didnt have TNC insuranceI never could have foreseen a real life Donald Trump driving so protect yourself ASAPRemember me ranting about Marylanders last week Well she was a woman and a Marylander  Just cant make  up  Not to mention previous paint scratches on her other bumper","Feb 19, 2017","1","get-tnc-insurance-now","https://uberpeople.net/threads/get-tnc-insurance-now.142835/page-1",1,3,"This moron backed into my car today on P street across from Whole Foods and tried to blame it on me  I layed on my horn to alert the moron to stop backing up to no avail She called the police to intimidate me whom did nothing but exchange our info like we could have done if she wasnt dumber and more immature than our PresidentI was about to pick up a pax so I would have been screwed if I didnt have TNC insuranceI never could have foreseen a real life Donald Trump driving so protect yourself ASAPRemember me ranting about Marylanders last week Well she was a woman and a Marylander  Just cant make  up  Not to mention previous paint scratches on her other bumper"
"dmv","I dont get the connection between living in Maryland and being a bad driver She can live in Virginia and have a Virginia tag if she want And of course there are better drivers than you who live in Maryland","Feb 19, 2017","1","get-tnc-insurance-now","https://uberpeople.net/threads/get-tnc-insurance-now.142835/page-1",4,3,"I dont get the connection between living in Maryland and being a bad driver She can live in Virginia and have a Virginia tag if she want And of course there are better drivers than you who live in Maryland"
"Jo3030","How dirty were her plates","Feb 19, 2017","1","get-tnc-insurance-now","https://uberpeople.net/threads/get-tnc-insurance-now.142835/page-1",3,3,"How dirty were her plates"
"leosc","Hi fellowsI have seen so many accidents lately There are many Uber drivers now The risk is so highHow much do you guys pay for the cost of Geico Ridesharing Insurance","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"Hi fellowsI have seen so many accidents lately There are many Uber drivers now The risk is so highHow much do you guys pay for the cost of Geico Ridesharing Insurance"
"POOLKiller","Its 1000 extra per year on top of what you would normally pay","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",4,346,"Its 1000 extra per year on top of what you would normally pay"
"leosc","POOLKiller saidIts 1000 extra per year on top of what you would normally payClick to expandAre you serious","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"  Its 1000 extra per year on top of what you would normally pay Are you serious"
"Mattio41","I am paying about 450 for farmers rideshare insurance in New Jersey","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",4,346,"I am paying about 450 for farmers rideshare insurance in New Jersey"
"signfromthesky","Geico is too expensive","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",4,346,"Geico is too expensive"
"leosc","Mattio41 saidI am paying about 450 for farmers rideshare insurance in New JerseyClick to expand450 for ridesharing coverageor 450 personal  ridesharing coverage","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"  I am paying about 450 for farmers rideshare insurance in New Jersey 450 for ridesharing coverageor 450 personal  ridesharing coverage"
"leosc","signfromthesky saidGeico is too expensiveClick to expandwhat is the cheap ridesharing insurance provider out there","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"  Geico is too expensive what is the cheap ridesharing insurance provider out there"
"kupalka","POOLKiller saidIts 1000 extra per year on top of what you would normally payClick to expandI have Geico rideshare insurancemy car is considered a commercial vehicle according to them and yes I pay 1024 a year and I dont feel bad","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",8,346,"  Its 1000 extra per year on top of what you would normally pay I have Geico rideshare insurancemy car is considered a commercial vehicle according to them and yes I pay 1024 a year and I dont feel bad"
"leosc","kupalka saidI have Geico rideshare insurancemy car is considered a commercial vehicle according to them and yes I pay 1024 a year and I dont feel badClick to expandwhat is your personal auto insurance rate before adding geico ridesharing coverageWith that number I can calculate the difference","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"  I have Geico rideshare insurancemy car is considered a commercial vehicle according to them and yes I pay 1024 a year and I dont feel bad what is your personal auto insurance rate before adding geico ridesharing coverageWith that number I can calculate the difference"
"kupalka","leosc saidwhat is your personal auto insurance rate before adding geico ridesharing coverageWith that number I can calculate the differenceClick to expand700 before I took the ridesharecommercialcoverage  They took out my car as a personal auto insurance and switched it to a commercialhere is the faq from Geico they sent me I would rather have a peace of mind having my own insurance  on top of what Uber provides I hope you read about this Uber driver who killed a 6 yr old child on the crosswalk in San Francisco and sued Uber and Uber decline to accept responsibility cause the driver was not online at the time it happened Guess who they going to come after other than Uberour assIts sad that most drivers dont even know how our insurance works when driving for UBeruber will cover you to the starting point that you accept the Ping request up to the end of the trip dropping off the passenger the time beyond that your personal insurance is what will kick in but unfortunately a lot of these drivers dont even inform their personal insurance that they are using the vehicle for rideshare and of which if the Ins companies found out they will either drop you or will not assume the claim if you hurt or kill somebody","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",8,346,"  what is your personal auto insurance rate before adding geico ridesharing coverageWith that number I can calculate the difference 700 before I took the ridesharecommercialcoverage  They took out my car as a personal auto insurance and switched it to a commercialhere is the faq from Geico they sent me I would rather have a peace of mind having my own insurance  on top of what Uber provides I hope you read about this Uber driver who killed a 6 yr old child on the crosswalk in San Francisco and sued Uber and Uber decline to accept responsibility cause the driver was not online at the time it happened Guess who they going to come after other than Uberour assIts sad that most drivers dont even know how our insurance works when driving for UBeruber will cover you to the starting point that you accept the Ping request up to the end of the trip dropping off the passenger the time beyond that your personal insurance is what will kick in but unfortunately a lot of these drivers dont even inform their personal insurance that they are using the vehicle for rideshare and of which if the Ins companies found out they will either drop you or will not assume the claim if you hurt or kill somebody"
"CrazyFemaleDriver","If the driver wasnt online then he wasnt working under Uber right  If he was online waiting for a ping or had a PAX I could see it falling under Uber Otherwise no  Am I wrong","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",1,346,"If the driver wasnt online then he wasnt working under Uber right  If he was online waiting for a ping or had a PAX I could see it falling under Uber Otherwise no  Am I wrong"
"leosc","kupalka said700 before I took the ridesharecommercialcoverage  They took out my car as a personal auto insurance and switched it to a commercialhere is the faq from Geico they sent me I would rather have a peace of mind having my own insurance  on top of what Uber provides I hope you read about this Uber driver who killed a 6 yr old child on the crosswalk in San Francisco and sued Uber and Uber decline to accept responsibility cause the driver was not online at the time it happened Guess who they going to come after other than Uberour assView attachment 89527Click to expandLook like 300400 for ridesharing coverageBecause of accidents some drivers reported that they got cancellation letters from their insurance providers on this forumI have seen so many accidents lately because of the increase in numbers of drivers The risk is so high now","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"  700 before I took the ridesharecommercialcoverage  They took out my car as a personal auto insurance and switched it to a commercialhere is the faq from Geico they sent me I would rather have a peace of mind having my own insurance  on top of what Uber provides I hope you read about this Uber driver who killed a 6 yr old child on the crosswalk in San Francisco and sued Uber and Uber decline to accept responsibility cause the driver was not online at the time it happened Guess who they going to come after other than Uberour assView attachment 89527 Look like 300400 for ridesharing coverageBecause of accidents some drivers reported that they got cancellation letters from their insurance providers on this forumI have seen so many accidents lately because of the increase in numbers of drivers The risk is so high now"
"kupalka","CrazyFemaleDriver saidIf the driver wasnt online then he wasnt working under Uber right  If he was online waiting for a ping or had a PAX I could see it falling under Uber Otherwise no  Am I wrongClick to expandIts sad that most drivers dont even know how our insurance works when driving for UBeruber will cover you to the starting point that you accept the Ping request up to the end of the trip dropping off the passenger the time beyond that your personal insurance is what will kick in but unfortunately a lot of these drivers dont even inform their personal insurance that they are using the vehicle for rideshare and of which if the Ins companies found out they will either drop you or will not assume the claim if you hurt or kill somebody","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",8,346,"  If the driver wasnt online then he wasnt working under Uber right  If he was online waiting for a ping or had a PAX I could see it falling under Uber Otherwise no  Am I wrong Its sad that most drivers dont even know how our insurance works when driving for UBeruber will cover you to the starting point that you accept the Ping request up to the end of the trip dropping off the passenger the time beyond that your personal insurance is what will kick in but unfortunately a lot of these drivers dont even inform their personal insurance that they are using the vehicle for rideshare and of which if the Ins companies found out they will either drop you or will not assume the claim if you hurt or kill somebody"
"leosc","kupalka saidIts sad that most drivers dont even know how our insurance works when driving for UBeruber will cover you to the starting point that you accept the Ping request up to the end of the trip dropping off the passenger the time beyond that your personal insurance is what will kick in but unfortunately a lot of these drivers dont even inform their personal insurance that they are using the vehicle for rideshare and of which if the Ins companies found out they will either drop you or will not assume the claim if you hurt or kill somebodyClick to expandRecently I separate myself from my family geico insurance policy I put my car under a new insurance policyGeico clearly states It will not cover if the vehicle is used for business before I hit the purchase now button","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",17,346,"  Its sad that most drivers dont even know how our insurance works when driving for UBeruber will cover you to the starting point that you accept the Ping request up to the end of the trip dropping off the passenger the time beyond that your personal insurance is what will kick in but unfortunately a lot of these drivers dont even inform their personal insurance that they are using the vehicle for rideshare and of which if the Ins companies found out they will either drop you or will not assume the claim if you hurt or kill somebody Recently I separate myself from my family geico insurance policy I put my car under a new insurance policyGeico clearly states It will not cover if the vehicle is used for business before I hit the purchase now button"
"kupalka","leosc saidRecently I separate myself from my family geico insurance policy I put my car under a new insurance policyGeico clearly states It will not cover if the vehicle is used for business before I hit the purchase now buttonClick to expandYou did the right thing buddywe rather pay extra than be sorry","Jan 13, 2017","1","the-cost-of-geico-ridesharing-insurance-is","https://uberpeople.net/threads/the-cost-of-geico-ridesharing-insurance-is.132807/page-1",8,346,"  Recently I separate myself from my family geico insurance policy I put my car under a new insurance policyGeico clearly states It will not cover if the vehicle is used for business before I hit the purchase now button You did the right thing buddywe rather pay extra than be sorry"
